X,a,b,c,d,e,f,g,h
8,7,4,4,4,2,3,3,2
7,16,25,12,8,7,14,5,18
6,23,19,19,12,14,14,18,28
5,15,25,24,34,23,24,32,42
4,27,39,53,74,66,63,68,68
3,28,97,104,171,139,132,79,39
2,27,58,232,264,247,97,32,10
1,17,24,53,120,59,24,2,6
