X,a,b,c,d,e,f,g,h
8,0,0,0,0,0,0,0,0
7,0,0,0,0,2,0,2,0
6,5,2,1,5,4,7,0,0
5,8,23,81,381,573,6,13,45
4,296,90,1648,2656,2148,415,70,99
3,445,436,961,740,1178,268,1409,490
2,5000,4990,2097,457,1027,5019,4257,5123
1,0,0,0,0,0,0,0,0
