X,a,b,c,d,e,f,g,h
8,0,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0,0
5,0,42,17,168,349,1,1,0
4,15,19,1786,2595,1987,187,3,15
3,43,117,310,242,559,55,1042,38
2,5246,5137,2794,1461,1951,5032,4259,5252
1,0,0,0,0,0,0,0,0
