X,a,b,c,d,e,f,g,h
8,2,1,4,6,9,15,15,3
7,2,8,12,14,28,25,35,13
6,2,8,13,15,20,22,20,15
5,2,6,5,12,13,21,10,6
4,6,8,8,13,10,12,11,1
3,2,6,10,6,4,6,6,3
2,0,6,2,1,2,2,0,2
1,1,1,1,0,1,1,0,0
