X,a,b,c,d,e,f,g,h
8,0,0,0,0,0,0,0,0
7,3041,3025,1117,177,658,4299,3150,3994
6,1630,962,1422,1692,2036,370,1951,1120
5,573,715,989,1383,1187,513,231,246
4,88,246,242,208,186,80,54,39
3,4,5,20,11,6,7,3,1
2,0,1,1,0,0,1,0,0
1,0,0,0,0,0,0,0,0
