X,a,b,c,d,e,f,g,h
8,0,0,0,0,0,0,0,0
7,0,0,0,0,1,1,1,0
6,3,1,10,12,9,9,3,5
5,52,85,172,656,657,75,87,82
4,591,316,1274,1992,1922,663,285,256
3,888,769,1173,702,1072,498,1485,1135
2,3993,4032,1606,126,606,4235,3748,4124
1,0,0,0,0,0,0,0,0
