X,a,b,c,d,e,f,g,h
8,0,0,0,0,0,0,0,0
7,1691,1482,487,66,270,2319,1787,2346
6,1239,881,837,868,1234,579,1740,1133
5,671,662,736,974,872,629,400,430
4,186,308,314,241,292,153,97,115
3,22,35,26,35,18,18,18,20
2,2,5,6,1,4,2,7,2
1,0,0,0,0,0,0,0,0
