X,a,b,c,d,e,f,g,h
8,0,0,0,0,0,0,0,0
7,0,1,2,0,0,1,0,0
6,2,3,3,4,2,4,1,2
5,2,6,6,6,11,6,11,3
4,1,13,15,25,40,26,11,15
3,3,17,41,68,79,115,83,32
2,9,17,42,80,105,137,249,160
1,14,40,26,24,30,95,434,163
