X,a,b,c,d,e,f,g,h
8,1,3,6,11,9,2,3,0
7,3,8,6,12,3,5,7,3
6,15,20,20,24,18,17,8,9
5,14,34,34,37,27,18,20,6
4,9,20,40,47,46,36,14,11
3,11,44,57,75,84,63,21,21
2,8,46,59,43,40,47,89,8
1,6,23,39,27,20,72,5,3
