X,a,b,c,d,e,f,g,h
8,17,8,1335,18,25,355,2,16
7,34,905,38,557,1160,23,1426,24
6,121,100,127,388,480,217,100,43
5,17,14,164,49,45,220,28,55
4,10,93,16,29,24,16,141,9
3,8,7,7,9,6,6,1,27
2,2,6,5,0,0,4,3,4
1,2,0,0,1,0,0,0,0
