X,a,b,c,d,e,f,g,h
8,1,7,4,4,11,20,22,9
7,2,3,18,12,33,35,50,20
6,4,11,16,24,28,40,27,16
5,4,4,12,13,22,16,13,6
4,1,6,11,13,10,13,8,3
3,2,11,4,7,9,7,9,2
2,3,2,2,2,2,5,3,0
1,0,1,2,0,0,0,1,1
