X,a,b,c,d,e,f,g,h
8,39,21,326,44,57,188,9,18
7,22,472,42,351,390,50,738,26
6,129,72,143,200,275,192,103,99
5,13,49,96,71,73,108,63,24
4,17,47,38,80,43,21,50,17
3,13,12,20,23,14,8,6,30
2,8,17,12,6,13,9,6,4
1,0,2,1,2,2,3,1,2
