X,a,b,c,d,e,f,g,h
8,5,7,3,6,10,4,5,5
7,6,4,7,7,8,4,1,6
6,4,4,4,11,6,5,6,4
5,4,9,8,6,7,6,8,7
4,3,4,10,12,12,12,12,7
3,5,10,9,17,18,16,11,4
2,5,6,6,12,22,14,6,0
1,3,10,6,9,2,3,0,4
