X,a,b,c,d,e,f,g,h
8,0,1,0,0,0,0,1,0
7,0,4,2,3,2,1,2,3
6,1,5,5,12,6,5,7,9
5,3,5,15,5,17,12,14,9
4,5,6,22,33,23,30,26,19
3,6,16,35,49,47,45,42,31
2,5,8,22,38,35,50,84,31
1,2,12,7,15,14,37,45,33
