X,a,b,c,d,e,f,g,h
8,0,0,0,0,1,0,0,0
7,1,3,2,0,0,0,1,0
6,0,4,2,7,2,1,1,1
5,2,6,6,3,2,2,1,1
4,7,4,1,11,6,5,3,3
3,15,10,20,13,12,25,6,17
2,12,7,21,34,13,26,5,4
1,3526,369,631,1263,1049,2625,68,1284
