X,a,b,c,d,e,f,g,h
8,24,66,87,323,82,35,6,2
7,46,103,512,285,344,71,40,3
6,34,185,101,129,90,141,68,38
5,93,42,66,42,62,42,69,45
4,32,46,26,22,19,25,20,57
3,17,9,14,8,12,10,11,16
2,30,20,13,3,10,7,8,5
1,3,2,2,1,3,0,2,4
