X,a,b,c,d,e,f,g,h
8,0,0,0,0,0,0,0,0
7,2,4,6,6,7,5,6,4
6,22,12,24,57,40,50,15,32
5,170,170,230,603,601,192,175,152
4,588,532,779,930,976,707,399,406
3,912,917,824,353,622,625,1353,1146
2,2006,1837,663,30,209,2099,2071,2232
1,0,0,0,0,0,0,0,0
