X,a,b,c,d,e,f,g,h
8,0,0,0,0,0,0,0,0
7,5068,5250,2689,1611,2276,5471,4219,5605
6,646,269,1028,1556,2057,60,1527,150
5,36,138,1139,1714,792,244,11,25
4,1,19,120,98,48,22,2,0
3,0,0,1,2,0,0,0,0
2,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0
